"iter","muon+adamw--lr1e-3 - train/loss","muon+adamw--lr1e-3 - train/loss__MIN","muon+adamw--lr1e-3 - train/loss__MAX","muon+adamw--lr1e-3 - _step","muon+adamw--lr1e-3 - _step__MIN","muon+adamw--lr1e-3 - _step__MAX","muon-cos_inf - train/loss","muon-cos_inf - train/loss__MIN","muon-cos_inf - train/loss__MAX","muon-cos_inf - _step","muon-cos_inf - _step__MIN","muon-cos_inf - _step__MAX","muon+adamw--lr1.5e-3 - train/loss","muon+adamw--lr1.5e-3 - train/loss__MIN","muon+adamw--lr1.5e-3 - train/loss__MAX","muon+adamw--lr1.5e-3 - _step","muon+adamw--lr1.5e-3 - _step__MIN","muon+adamw--lr1.5e-3 - _step__MAX","muon1500 - train/loss","muon1500 - train/loss__MIN","muon1500 - train/loss__MAX","muon1500 - _step","muon1500 - _step__MIN","muon1500 - _step__MAX","muon-linear - train/loss","muon-linear - train/loss__MIN","muon-linear - train/loss__MAX","muon-linear - _step","muon-linear - _step__MIN","muon-linear - _step__MAX","muon-cosine - train/loss","muon-cosine - train/loss__MIN","muon-cosine - train/loss__MAX","muon-cosine - _step","muon-cosine - _step__MIN","muon-cosine - _step__MAX","muon - train/loss","muon - train/loss__MIN","muon - train/loss__MAX","muon - _step","muon - _step__MIN","muon - _step__MAX"
"1350","","","","","","","4.10633659362793","4.10633659362793","4.10633659362793","56","56","56","","","","","","","3.9404373168945312","3.9404373168945312","3.9404373168945312","56","56","56","4.06532621383667","4.06532621383667","4.06532621383667","56","56","56","3.9707818031311035","3.9707818031311035","3.9707818031311035","56","56","56","3.944201946258545","3.944201946258545","3.944201946258545","56","56","56"
"1400","","","","","","","4.111614227294922","4.111614227294922","4.111614227294922","58","58","58","","","","","","","3.941049814224243","3.941049814224243","3.941049814224243","58","58","58","4.062551021575928","4.062551021575928","4.062551021575928","58","58","58","3.955414056777954","3.955414056777954","3.955414056777954","58","58","58","3.9470691680908203","3.9470691680908203","3.9470691680908203","58","58","58"
"1450","","","","","","","4.053806781768799","4.053806781768799","4.053806781768799","60","60","60","","","","","","","3.912594795227051","3.912594795227051","3.912594795227051","60","60","60","4.032015800476074","4.032015800476074","4.032015800476074","60","60","60","3.9318180084228516","3.9318180084228516","3.9318180084228516","60","60","60","3.914201259613037","3.914201259613037","3.914201259613037","60","60","60"
"1500","3.9791202545166016","3.9791202545166016","3.9791202545166016","3","3","3","3.785688877105713","3.785688877105713","3.785688877105713","62","62","62","3.9791202545166016","3.9791202545166016","3.9791202545166016","3","3","3","3.9791202545166016","3.9791202545166016","3.9791202545166016","62","62","62","3.7449193000793457","3.7449193000793457","3.7449193000793457","62","62","62","3.6646347045898438","3.6646347045898438","3.6646347045898438","62","62","62","3.6580190658569336","3.6580190658569336","3.6580190658569336","62","62","62"
"1550","","","","","","","3.8153576850891113","3.8153576850891113","3.8153576850891113","64","64","64","","","","","","","","","","","","","3.7854974269866943","3.7854974269866943","3.7854974269866943","64","64","64","3.684894323348999","3.684894323348999","3.684894323348999","64","64","64","3.6873369216918945","3.6873369216918945","3.6873369216918945","64","64","64"
"1600","3.976130723953247","3.976130723953247","3.976130723953247","5","5","5","3.946478843688965","3.946478843688965","3.946478843688965","66","66","66","4.121388912200928","4.121388912200928","4.121388912200928","5","5","5","","","","","","","3.9029369354248047","3.9029369354248047","3.9029369354248047","66","66","66","3.8277571201324463","3.8277571201324463","3.8277571201324463","66","66","66","3.8355636596679688","3.8355636596679688","3.8355636596679688","66","66","66"
"1650","","","","","","","3.6344218254089355","3.6344218254089355","3.6344218254089355","68","68","68","","","","","","","","","","","","","3.5896029472351074","3.5896029472351074","3.5896029472351074","68","68","68","3.519416332244873","3.519416332244873","3.519416332244873","68","68","68","3.536241054534912","3.536241054534912","3.536241054534912","68","68","68"
"1700","3.943861484527588","3.943861484527588","3.943861484527588","7","7","7","3.8241941928863525","3.8241941928863525","3.8241941928863525","70","70","70","4.068241119384766","4.068241119384766","4.068241119384766","7","7","7","","","","","","","3.797966480255127","3.797966480255127","3.797966480255127","70","70","70","3.715660572052002","3.715660572052002","3.715660572052002","70","70","70","3.7342419624328613","3.7342419624328613","3.7342419624328613","70","70","70"
"1750","","","","","","","3.804640293121338","3.804640293121338","3.804640293121338","72","72","72","","","","","","","","","","","","","3.7881693840026855","3.7881693840026855","3.7881693840026855","72","72","72","3.7101798057556152","3.7101798057556152","3.7101798057556152","72","72","72","3.717785120010376","3.717785120010376","3.717785120010376","72","72","72"
"1800","3.80657958984375","3.80657958984375","3.80657958984375","9","9","9","3.789109706878662","3.789109706878662","3.789109706878662","74","74","74","3.913670539855957","3.913670539855957","3.913670539855957","9","9","9","","","","","","","3.7549962997436523","3.7549962997436523","3.7549962997436523","74","74","74","3.683702230453491","3.683702230453491","3.683702230453491","74","74","74","3.716431140899658","3.716431140899658","3.716431140899658","74","74","74"
