"iter","muon+adamwcos--lr8e-4 - train/loss","muon+adamwcos--lr8e-4 - train/loss__MIN","muon+adamwcos--lr8e-4 - train/loss__MAX","muon+adamwcos--lr8e-4 - _step","muon+adamwcos--lr8e-4 - _step__MIN","muon+adamwcos--lr8e-4 - _step__MAX","muon+adamwcos_inf--lr8e-4 - train/loss","muon+adamwcos_inf--lr8e-4 - train/loss__MIN","muon+adamwcos_inf--lr8e-4 - train/loss__MAX","muon+adamwcos_inf--lr8e-4 - _step","muon+adamwcos_inf--lr8e-4 - _step__MIN","muon+adamwcos_inf--lr8e-4 - _step__MAX","muon+adamwlinear--lr8e-4 - train/loss","muon+adamwlinear--lr8e-4 - train/loss__MIN","muon+adamwlinear--lr8e-4 - train/loss__MAX","muon+adamwlinear--lr8e-4 - _step","muon+adamwlinear--lr8e-4 - _step__MIN","muon+adamwlinear--lr8e-4 - _step__MAX","muon+adamw--lr8e-4 - train/loss","muon+adamw--lr8e-4 - train/loss__MIN","muon+adamw--lr8e-4 - train/loss__MAX","muon+adamw--lr8e-4 - _step","muon+adamw--lr8e-4 - _step__MIN","muon+adamw--lr8e-4 - _step__MAX","muon800 - train/loss","muon800 - train/loss__MIN","muon800 - train/loss__MAX","muon800 - _step","muon800 - _step__MIN","muon800 - _step__MAX"
"2800","3.6670913696289062","3.6670913696289062","3.6670913696289062","43","43","43","3.682009220123291","3.682009220123291","3.682009220123291","83","83","83","3.6761834621429443","3.6761834621429443","3.6761834621429443","43","43","43","3.7456870079040527","3.7456870079040527","3.7456870079040527","43","43","43","","","","","",""
"2850","","","","","","","3.6816816329956055","3.6816816329956055","3.6816816329956055","85","85","85","","","","","","","","","","","","","","","","","",""
"2900","3.563340663909912","3.563340663909912","3.563340663909912","45","45","45","3.5781378746032715","3.5781378746032715","3.5781378746032715","87","87","87","3.5842413902282715","3.5842413902282715","3.5842413902282715","45","45","45","3.6472220420837402","3.6472220420837402","3.6472220420837402","45","45","45","","","","","",""
"2950","","","","","","","3.346355676651001","3.346355676651001","3.346355676651001","89","89","89","","","","","","","","","","","","","","","","","",""
"3000","3.7102456092834473","3.7102456092834473","3.7102456092834473","47","47","47","3.718710422515869","3.718710422515869","3.718710422515869","91","91","91","3.7410049438476562","3.7410049438476562","3.7410049438476562","47","47","47","3.8397350311279297","3.8397350311279297","3.8397350311279297","47","47","47","","","","","",""
"3050","","","","","","","3.8020129203796387","3.8020129203796387","3.8020129203796387","93","93","93","","","","","","","","","","","","","","","","","",""
"3100","3.6369645595550537","3.6369645595550537","3.6369645595550537","49","49","49","3.653404712677002","3.653404712677002","3.653404712677002","95","95","95","3.653136968612671","3.653136968612671","3.653136968612671","49","49","49","3.7336840629577637","3.7336840629577637","3.7336840629577637","49","49","49","","","","","",""
"3150","","","","","","","3.3718795776367188","3.3718795776367188","3.3718795776367188","97","97","97","","","","","","","","","","","","","","","","","",""
"3200","3.700746774673462","3.700746774673462","3.700746774673462","51","51","51","3.710171937942505","3.710171937942505","3.710171937942505","99","99","99","3.7209882736206055","3.7209882736206055","3.7209882736206055","51","51","51","3.8293232917785645","3.8293232917785645","3.8293232917785645","51","51","51","","","","","",""
"3250","","","","","","","3.3950743675231934","3.3950743675231934","3.3950743675231934","101","101","101","","","","","","","","","","","","","","","","","",""
"3300","3.231017827987671","3.231017827987671","3.231017827987671","53","53","53","3.2432494163513184","3.2432494163513184","3.2432494163513184","103","103","103","3.2491707801818848","3.2491707801818848","3.2491707801818848","53","53","53","3.34486722946167","3.34486722946167","3.34486722946167","53","53","53","","","","","",""
"3350","","","","","","","3.4896488189697266","3.4896488189697266","3.4896488189697266","105","105","105","","","","","","","","","","","","","","","","","",""
"3400","3.381577968597412","3.381577968597412","3.381577968597412","55","55","55","3.38970947265625","3.38970947265625","3.38970947265625","107","107","107","3.404202699661255","3.404202699661255","3.404202699661255","55","55","55","3.4958338737487793","3.4958338737487793","3.4958338737487793","55","55","55","","","","","",""
"3450","","","","","","","3.4923789501190186","3.4923789501190186","3.4923789501190186","109","109","109","","","","","","","","","","","","","","","","","",""
"3500","3.481151580810547","3.481151580810547","3.481151580810547","57","57","57","3.4903335571289062","3.4903335571289062","3.4903335571289062","111","111","111","3.4991517066955566","3.4991517066955566","3.4991517066955566","57","57","57","3.593923568725586","3.593923568725586","3.593923568725586","57","57","57","","","","","",""
"3550","","","","","","","3.409045696258545","3.409045696258545","3.409045696258545","113","113","113","","","","","","","","","","","","","","","","","",""
"3600","3.634096384048462","3.634096384048462","3.634096384048462","59","59","59","3.634838581085205","3.634838581085205","3.634838581085205","115","115","115","3.6421337127685547","3.6421337127685547","3.6421337127685547","59","59","59","3.769435405731201","3.769435405731201","3.769435405731201","59","59","59","","","","","",""
"3650","","","","","","","3.6597628593444824","3.6597628593444824","3.6597628593444824","117","117","117","","","","","","","","","","","","","","","","","",""
"3700","3.564350128173828","3.564350128173828","3.564350128173828","61","61","61","3.547534465789795","3.547534465789795","3.547534465789795","119","119","119","3.563941478729248","3.563941478729248","3.563941478729248","61","61","61","3.663179397583008","3.663179397583008","3.663179397583008","61","61","61","","","","","",""
"3750","","","","","","","3.558457374572754","3.558457374572754","3.558457374572754","121","121","121","","","","","","","","","","","","","","","","","",""
"3800","3.355475902557373","3.355475902557373","3.355475902557373","63","63","63","3.337475299835205","3.337475299835205","3.337475299835205","123","123","123","3.3427982330322266","3.3427982330322266","3.3427982330322266","63","63","63","3.4646077156066895","3.4646077156066895","3.4646077156066895","63","63","63","","","","","",""
"3850","","","","","","","3.190706253051758","3.190706253051758","3.190706253051758","125","125","125","","","","","","","","","","","","","","","","","",""
"3900","3.309600353240967","3.309600353240967","3.309600353240967","65","65","65","3.2798714637756348","3.2798714637756348","3.2798714637756348","127","127","127","3.2950944900512695","3.2950944900512695","3.2950944900512695","65","65","65","3.44301176071167","3.44301176071167","3.44301176071167","65","65","65","","","","","",""
"3950","","","","","","","3.4205451011657715","3.4205451011657715","3.4205451011657715","129","129","129","","","","","","","","","","","","","","","","","",""
"4000","3.502310037612915","3.502310037612915","3.502310037612915","67","67","67","3.461549758911133","3.461549758911133","3.461549758911133","131","131","131","3.4862985610961914","3.4862985610961914","3.4862985610961914","67","67","67","3.607510566711426","3.607510566711426","3.607510566711426","67","67","67","","","","","",""
